,online_order,book_table,rate,votes,location,rest_type,cuisines,cost,menu_item
156,0,1,3.7,264,2,0,91,750.0,0
157,0,1,3.9,169,4,15,92,150.0,0
158,0,1,3.0,67,4,2,38,250.0,0
159,0,1,3.7,97,3,2,0,350.0,0
160,0,1,3.3,12,1,13,29,300.0,0
161,0,1,3.3,12,0,2,29,300.0,16
162,0,1,3.6,195,3,0,93,800.0,0
163,0,1,3.3,13,1,18,94,300.0,0
164,0,1,4.6,228,3,4,95,400.0,0
165,0,1,4.1,70,1,2,96,150.0,17
166,0,0,4.1,364,3,0,97,1200.0,0
167,0,1,3.7,107,1,15,98,150.0,0
168,0,1,3.2,167,4,2,99,300.0,18
169,0,1,4.0,115,0,16,67,400.0,0
170,0,1,3.7,27,0,13,100,400.0,0
171,0,1,3.5,57,0,2,29,200.0,0
172,0,1,3.8,120,0,2,101,250.0,0
173,0,1,3.8,15,1,12,54,400.0,0
174,0,1,4.2,64,1,2,102,500.0,0
175,0,1,3.6,66,0,2,33,150.0,0
176,0,1,3.0,290,0,2,103,450.0,0
177,0,1,4.1,233,1,2,104,200.0,0
178,0,1,3.8,115,4,2,105,250.0,0
179,0,1,3.1,119,0,0,106,700.0,0
180,0,0,3.9,291,3,4,107,650.0,19
181,0,1,4.5,155,3,15,108,300.0,0
182,0,1,4.1,305,4,0,109,700.0,0
183,0,1,3.6,46,0,2,110,500.0,0
184,0,1,3.5,45,4,2,111,350.0,0
185,0,1,3.9,38,0,9,70,150.0,0
186,0,1,3.9,441,0,2,112,400.0,0
187,0,1,3.9,25,1,2,33,100.0,20
188,0,1,4.3,630,3,2,113,200.0,0
189,0,1,3.8,25,4,2,33,150.0,21
190,0,1,3.9,160,4,2,114,300.0,0
191,0,1,4.2,287,0,2,5,350.0,0
192,0,1,3.6,11,1,2,33,100.0,22
193,0,1,4.1,402,0,4,10,500.0,0
194,0,1,3.8,469,1,0,115,750.0,0
195,0,1,3.3,511,4,0,116,550.0,0
196,0,1,3.9,57,0,2,80,200.0,23
197,0,1,3.4,14,0,2,33,300.0,0
198,0,1,3.9,264,0,2,33,200.0,0
199,0,1,3.0,62,0,4,16,400.0,0
200,0,1,3.8,693,0,0,36,750.0,0
201,0,1,3.8,242,3,0,117,650.0,0
202,0,1,3.6,27,1,9,63,250.0,0
203,0,1,4.1,163,1,2,118,500.0,0
204,0,1,4.2,191,1,2,34,250.0,24
205,0,1,3.5,32,0,2,119,150.0,0
206,0,1,2.5,247,0,0,5,500.0,0
207,0,0,4.1,2339,3,0,120,1500.0,0
208,0,1,4.1,337,3,2,121,300.0,0
209,0,1,3.9,135,0,0,122,800.0,0
